"";"Hobbit";"Hobbit.txt.bak";"Jan_Pawel_II";"Jozef_Pilsudski";"Mikolaj_Kopernik";"Robert_Lewandowski";"Wladca_pierscien_Powrot_Krola";"Wladca_pierscieni_Druzyna_Pierscienia";"Wladca_pierscieni_Dwie_Wieze"
"batorego";0;0;0;0;0;1;0;0;0
"bawić";0;0;0;0;0;0;0;1;0
"bayer";0;0;0;0;0;1;0;0;0
"bayerem";0;0;0;0;0;1;0;0;0
"bayern";0;0;0;0;0;6;0;0;0
"bayernem";0;0;0;0;0;7;0;0;0
"bayernie";0;0;0;0;0;2;0;0;0
"bayernowi";0;0;0;0;0;1;0;0;0
"bayernu";0;0;0;0;0;6;0;0;0
"baziak";0;0;1;0;0;0;0;0;0
"baziaka";0;0;1;0;0;0;0;0;0
"bazylei";0;0;0;0;1;0;0;0;0
"bazyliki";0;0;2;0;0;0;0;0;0
"bądź";1;0;0;0;0;0;3;0;0
"beatyfikacyjny";0;0;1;0;0;0;0;0;0
"beatyfikować";0;0;2;0;0;0;0;0;0
"belgii";0;0;0;1;0;0;0;0;0
"belgijski";0;0;1;0;0;0;0;0;0
"belka";0;0;0;0;0;0;0;0;2
"belli";0;0;0;0;1;0;0;0;0
"bełchatów";0;0;0;0;0;1;0;0;0
"benedykta";0;0;2;0;0;0;0;0;0
"benellego";0;0;1;0;0;0;0;0;0
"benewentu";0;0;0;0;1;0;0;0;0
"beorn";0;1;0;0;0;0;0;0;0
"beorna";0;1;0;0;0;0;0;0;0
"berlina";0;0;0;0;0;1;0;0;0
"berło";0;0;0;1;0;0;0;0;0
"bernard";0;0;0;0;2;0;0;0;0
"bernie";0;0;0;1;0;0;0;0;0
"bezdanami";0;0;0;3;0;0;0;0;0
"bezimienny";0;0;0;0;0;0;0;0;1
"bezksięŝycowa";1;0;0;0;0;0;0;0;0
"beznadziejny";0;0;0;0;0;0;0;0;1
"bezpieczniejszy";0;0;0;0;0;0;0;0;1
"bezpieczny";1;3;0;0;0;0;2;2;3
"bezpośredni";0;0;0;1;0;2;0;0;0
"bezskuteczny";0;0;0;0;1;0;0;0;0
"bezszelestny";0;1;0;0;0;0;0;0;0
"będąc";0;0;0;2;0;0;0;0;0
"będącej";0;0;0;0;1;0;0;0;0
"będących";0;0;0;0;1;0;0;0;0
"będę";2;0;0;0;0;0;0;0;0
"będziemy";1;0;0;0;0;0;1;0;0
"będziesz";0;0;0;0;0;0;1;0;0
"biała";0;0;1;0;0;0;0;0;0
"biały";0;0;1;0;0;0;0;1;3
"biblia";0;0;2;0;0;0;0;0;0
"biblioteka";0;0;0;0;6;0;0;1;0
"bibliotheca";0;0;0;0;1;0;0;0;0
"biblo";0;1;0;0;0;0;0;0;0
