"";"chlopi-czesc-czwarta-lato";"chlopi-czesc-czwarta-zima";"chlopi-czesc-pierwsza-jesien";"chlopi-czesc-trzecia-wiosna";"Hobbit";"Jan_Pawel_II";"Jozef_Pilsudski";"Mikolaj_Kopernik";"Robert_Lewandowski";"Wiedzmin-01";"Wiedzmin-02";"Wiedzmin-03";"Wiedzmin-04";"Wladca_pierscien_Powrot_Krola";"Wladca_pierscieni_Druzyna_Pierscienia";"Wladca_pierscieni_Dwie_Wieze"
"ard";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"arena";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
"aresztować";0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0
"aresztowany";0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"argument";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"arjena";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"arjenem";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"armada";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"armia";0;0;0;0;1;0;5;0;0;0;0;1;0;1;1;0
"arnolda";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"arsenalowi";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"artykuł";0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0
"artystyczny";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"arwenie";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"arystarcha";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"arystotelesa";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"ascetyczny";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"astrologia";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"astronom";0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0
"astronomia";0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
"astronomicznomatematycznej";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"astronomiczny";0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
"asysta";0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
"asystent";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"atak";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"atakować";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"athenaeum";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"atlético";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"atsushi";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"audiencja";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"augsburg";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"augsburgowi";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"aureola";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"austriacki";0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
"austrii";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"austrowęgier";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"autohipnoza";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"autor";0;0;0;0;0;1;1;3;0;0;0;0;0;0;1;0
"autorstwo";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"autorytet";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
"awans";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"awansować";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"awantura";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"awanturniczy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"azji";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"azs";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"azyl";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"aże";0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0
"baby";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"bacząc";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"baczenie";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"baczny";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"baczyć";0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0
"baczyńskiego";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"bać";0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"badacz";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"badanie";0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
"badawczy";0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0
"bag";0;0;0;0;0;0;0;0;0;0;0;0;0;7;2;0
"baggins";0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;0
"bagginsowie";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"baggio";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"bagnisty";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"bagno";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bagshot";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"baja";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"bajka";0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0
"bajor";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bal";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"balia";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"balicki";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"balin";0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
"balinie";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"balkon";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"bałkański";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"bałwan";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bałykować";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"banachów";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"banda";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
"bandy";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"bandytyzm";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"bania";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"bankieta";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"banknot";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"barahir";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"baranina";0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
