"";"chlopi-czesc-czwarta-lato";"chlopi-czesc-czwarta-zima";"chlopi-czesc-pierwsza-jesien";"chlopi-czesc-trzecia-wiosna";"George R.R. Martin 01 - Gra o tron";"George R.R. Martin 03 - Nawalnica mieczy 01 - Stal i snieg";"George R.R. Martin 04 - Nawalnica mieczy 02 - Krew i zloto";"George R.R. Martin 05 - Uczta dla wron 01 - Cienie smierci";"Hobbit";"Jan_Pawel_II";"Jozef_Pilsudski";"Mikolaj_Kopernik";"Robert_Lewandowski";"Wiedzmin-01";"Wiedzmin-02";"Wiedzmin-03";"Wiedzmin-04";"Wladca_pierscien_Powrot_Krola";"Wladca_pierscieni_Druzyna_Pierscienia";"Wladca_pierscieni_Dwie_Wieze"
"bogacz";0,00218957247533297;0;0;0;0;0;0;0;0,00173665329579074;0;0;0;0;0;0;0;0;0;0,00181737423251408;0
"bogaty";0;0;0;0;0;0;0;0;0,00173665329579074;0;0;0,0024306976857604;0;0;0;0;0;0;0,00363474846502816;0
"bohater";0;0;0;0;0;0;0;0;0;0;0;0;0;0,00362992784372176;0;0;0,00379081107225236;0,00200510299938916;0;0
"boj";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00460100844167225;0;0;0,00402170471536
"bojowy";0;0;0;0;0;0,00178536568438761;0;0;0;0;0,0168354649904775;0;0;0;0;0;0;0;0;0,00165675883424104
"bok";0;0;0,000982115969455693;0,000936873206865601;0,00317009135464595;0,0017246289561479;0,00145747309248882;0;0;0;0;0;0;0,0017532202849965;0;0;0,00183092533917917;0,000968445490759972;0;0
"ból";0;0;0;0;0,00597469081814274;0;0;0;0;0;0;0;0;0;0;0,00978957198886256;0;0;0;0
"boleć";0;0;0;0,00235430765052258;0;0;0,00183127237865896;0;0;0;0;0;0;0;0;0;0;0;0;0
"bolesław";0;0;0;0;0;0;0;0;0;0,00266607391242966;0,00875727968775227;0;0;0;0;0;0;0;0;0
"bolesny";0;0,00536227295381334;0;0,00235430765052258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bom";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00325041887953754;0,00326319066295419;0;0;0;0
"bor";0;0,00804340943072001;0,00246800007049581;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bora";0;0,0107245459076267;0;0,00470861530104516;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"boryna";0,00531508495181978;0;0,00740400021148743;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"borynowa";0,00265754247590989;0;0;0,00235430765052258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"boski";0;0;0,00246800007049581;0;0;0;0;0,00203799269624992;0;0;0;0;0;0;0;0;0;0;0;0
"bosy";0;0,00220901177898806;0,00203340683073269;0;0;0;0,00150880131982702;0;0;0;0;0;0;0;0;0;0;0;0;0
"boże";0;0,00662703533696418;0,0101670341536635;0,00193973465213764;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"boży";0,0032;0;0;0,00283486888731396;0;0,00130463144161774;0,00110253583241455;0;0;0,00642054574638844;0;0;0;0;0;0;0;0;0;0
"brać";0;0,000501604823846869;0,000461729848994257;0,00132137854729894;0;0,000810813276903157;0,000685213204791919;0,00114384363818332;0,000394345416717176;0;0,00109224670781418;0,00165583048866679;0;0;0,000608109957677368;0;0;0,00182121136042863;0,000412674884957683;0,000752407235770303
"bracia";0;0;0;0;0,00119904076738609;0,00260926288323549;0,00220507166482911;0,00368098159509202;0;0;0,00351493848857645;0;0;0;0;0;0;0;0;0
"brak";0;0;0;0;0;0;0;0;0;0;0;0,0024306976857604;0,00271255262058098;0;0,00267804852658141;0;0;0;0;0
"brakowało";0;0;0;0;0;0;0;0;0,0021078223952331;0;0;0;0;0;0;0,00326319066295419;0;0;0;0
"brakuje";0;0;0;0;0;0;0;0,00203799269624992;0;0;0;0;0;0,00881148035779141;0;0;0;0;0;0
"brama";0;0;0;0;0;0,00113304996357874;0;0;0,0121234908222261;0,00139403338215586;0;0;0;0,00230366789677216;0;0;0;0;0,00230672721668819;0,0147200474081882
"bran";0;0;0;0;0;0,00216694591969169;0,00366254475731793;0;0;0;0;0;0;0;0;0;0;0;0;0
"brat";0;0;0;0;0,00139204322235453;0;0;0,00142449576373458;0;0,00372701138826222;0;0;0;0;0;0,00456174478366869;0;0;0;0
"brata";0;0;0;0;0;0,00226609992715748;0,000957533403619739;0,00319686919171694;0;0,00278806676431173;0;0,00154259821862008;0;0;0;0,001706253039456;0;0;0;0
"bratem";0;0;0;0;0;0,00130463144161774;0,00110253583241455;0;0;0,00160513643659711;0,00175746924428822;0,00532859680284192;0;0;0;0;0;0;0;0
"broda";0;0;0;0;0;0,00433389183938338;0;0;0,0021078223952331;0;0;0;0;0;0;0;0;0;0;0
"broń";0;0;0;0;0,00454008744853045;0;0,00166987119385861;0,000929185995601079;0,000961023586820912;0;0;0;0;0;0,00148196983642833;0,00148779290061862;0;0,00443830966396999;0;0
"bronia";0;0;0;0;0;0;0;0;0;0;0;0;0;0,00440574017889571;0;0;0,00460100844167225;0;0;0
